ppx_accession	ppx_accession_version	organism	insdc_accessions	segment_divisions	ncbi_titles
PP_00026U1	PP_00026U1.3	west-nile	LQ868188	-:PAT	Sequence 36 from Patent EP3364950
PP_00026VZ	PP_00026VZ.3	west-nile	LQ868189	-:PAT	Sequence 37 from Patent EP3364950
PP_00026WX	PP_00026WX.3	west-nile	LQ868190	-:PAT	Sequence 38 from Patent EP3364950
PP_00026XV	PP_00026XV.3	west-nile	LQ868191	-:PAT	Sequence 39 from Patent EP3364950
PP_00029BZ	PP_00029BZ.3	west-nile	LY683288	-:PAT	
PP_00029JJ	PP_00029JJ.3	west-nile	MA388207	-:PAT	
PP_00029KG	PP_00029KG.3	west-nile	MA388215	-:PAT	
PP_00032V1	PP_00032V1.3	west-nile	MP508159	-:PAT	Sequence 128 from Patent EP3606552
PP_00087WJ	PP_00087WJ.3	west-nile	HB384555	-:PAT	Sequence 11455 from Patent WO2006110688
PP_00087XG	PP_00087XG.3	west-nile	HB384556	-:PAT	Sequence 11456 from Patent WO2006110688
PP_00087YE	PP_00087YE.3	west-nile	HB384557	-:PAT	Sequence 11457 from Patent WO2006110688
PP_00087ZC	PP_00087ZC.3	west-nile	HC467785	-:PAT	Sequence 1 from Patent WO2010025469
PP_000880A	PP_000880A.3	west-nile	HC467786	-:PAT	Sequence 2 from Patent WO2010025469
PP_0008818	PP_0008818.3	west-nile	HC467787	-:PAT	Sequence 3 from Patent WO2010025469
PP_0008826	PP_0008826.3	west-nile	HC467788	-:PAT	Sequence 4 from Patent WO2010025469
PP_0008834	PP_0008834.3	west-nile	HC467789	-:PAT	Sequence 5 from Patent WO2010025469
PP_0008842	PP_0008842.3	west-nile	HC467790	-:PAT	Sequence 6 from Patent WO2010025469
PP_0008850	PP_0008850.3	west-nile	HC467791	-:PAT	Sequence 7 from Patent WO2010025469
PP_000886Y	PP_000886Y.3	west-nile	HC467792	-:PAT	Sequence 8 from Patent WO2010025469
PP_000887W	PP_000887W.3	west-nile	HC467793	-:PAT	Sequence 9 from Patent WO2010025469
PP_000888U	PP_000888U.3	west-nile	HC467794	-:PAT	Sequence 10 from Patent WO2010025469
PP_000889S	PP_000889S.3	west-nile	HC467795	-:PAT	Sequence 11 from Patent WO2010025469
PP_00088AQ	PP_00088AQ.3	west-nile	HC467796	-:PAT	Sequence 12 from Patent WO2010025469
PP_00088BN	PP_00088BN.3	west-nile	HC467797	-:PAT	Sequence 13 from Patent WO2010025469
PP_00088CL	PP_00088CL.3	west-nile	HC467798	-:PAT	Sequence 14 from Patent WO2010025469
PP_00088DJ	PP_00088DJ.3	west-nile	HC467799	-:PAT	Sequence 15 from Patent WO2010025469
PP_00088EG	PP_00088EG.3	west-nile	HC467800	-:PAT	Sequence 16 from Patent WO2010025469
PP_00088FE	PP_00088FE.3	west-nile	HC467801	-:PAT	Sequence 17 from Patent WO2010025469
PP_00088GC	PP_00088GC.3	west-nile	HC467802	-:PAT	Sequence 18 from Patent WO2010025469
PP_00088H9	PP_00088H9.3	west-nile	HC467803	-:PAT	Sequence 19 from Patent WO2010025469
PP_00088J7	PP_00088J7.3	west-nile	HC467804	-:PAT	Sequence 20 from Patent WO2010025469
PP_00088K5	PP_00088K5.3	west-nile	HC467805	-:PAT	Sequence 21 from Patent WO2010025469
PP_00088L3	PP_00088L3.3	west-nile	HC467806	-:PAT	Sequence 22 from Patent WO2010025469
PP_00088M1	PP_00088M1.3	west-nile	HC467807	-:PAT	Sequence 23 from Patent WO2010025469
PP_00088QV	PP_00088QV.3	west-nile	HH961664	-:PAT	Sequence 7 from Patent EP1601947
PP_0008ASP	PP_0008ASP.3	west-nile	HH961658	-:PAT	Sequence 1 from Patent EP1601947
PP_0008ATM	PP_0008ATM.3	west-nile	HH961659	-:PAT	Sequence 2 from Patent EP1601947
PP_0008AUK	PP_0008AUK.3	west-nile	HH961662	-:PAT	Sequence 5 from Patent EP1601947
PP_0008F8M	PP_0008F8M.3	west-nile	HV572298	-:PAT	JP 2012501350-A/9: WEST NILE VIRUS
PP_0008P8D	PP_0008P8D.3	west-nile	HV349044	-:PAT	JP 2011120556-A/15: Method, Primers, Probes and Kit for detecting Human Immunodeficiency virus, Hepatitis C virus, Hepatitis B virus, Parvovirus B19 and West Nile virus
PP_0008P9B	PP_0008P9B.3	west-nile	HV437402	-:PAT	WO 2011074181-A/15: Method, Primers, Probes and Kit for detecting Human Immunodeficiency virus, Hepatitis C virus, Hepatitis B virus, Parvovirus B19 and West Nile virus
PP_0008PA9	PP_0008PA9.3	west-nile	HV540337	-:PAT	JP 2011204261-A/202: RESEQUENCING PATHOGEN MICROARRAY
PP_0008QE0	PP_0008QE0.3	west-nile	HV572290	-:PAT	JP 2012501350-A/1: WEST NILE VIRUS
PP_0008QFY	PP_0008QFY.3	west-nile	HV572291	-:PAT	JP 2012501350-A/2: WEST NILE VIRUS
PP_0008QGW	PP_0008QGW.3	west-nile	HV572292	-:PAT	JP 2012501350-A/3: WEST NILE VIRUS
PP_0008QHT	PP_0008QHT.3	west-nile	HV572293	-:PAT	JP 2012501350-A/4: WEST NILE VIRUS
PP_0008QJR	PP_0008QJR.3	west-nile	HV572294	-:PAT	JP 2012501350-A/5: WEST NILE VIRUS
PP_0008QKP	PP_0008QKP.3	west-nile	HV572295	-:PAT	JP 2012501350-A/6: WEST NILE VIRUS
PP_0008QLM	PP_0008QLM.3	west-nile	HV572296	-:PAT	JP 2012501350-A/7: WEST NILE VIRUS
PP_0008QMK	PP_0008QMK.3	west-nile	HV572297	-:PAT	JP 2012501350-A/8: WEST NILE VIRUS
PP_0008QNH	PP_0008QNH.3	west-nile	HV572299	-:PAT	JP 2012501350-A/10: WEST NILE VIRUS
PP_0008QPF	PP_0008QPF.3	west-nile	HV572300	-:PAT	JP 2012501350-A/11: WEST NILE VIRUS
PP_0008QQD	PP_0008QQD.3	west-nile	HV572301	-:PAT	JP 2012501350-A/12: WEST NILE VIRUS
PP_0008QRB	PP_0008QRB.3	west-nile	HV572302	-:PAT	JP 2012501350-A/13: WEST NILE VIRUS
PP_0008QS9	PP_0008QS9.3	west-nile	HV572303	-:PAT	JP 2012501350-A/14: WEST NILE VIRUS
PP_0008QT7	PP_0008QT7.3	west-nile	HV572304	-:PAT	JP 2012501350-A/15: WEST NILE VIRUS
PP_0008QU5	PP_0008QU5.3	west-nile	HV572305	-:PAT	JP 2012501350-A/16: WEST NILE VIRUS
PP_0008QV3	PP_0008QV3.3	west-nile	HV572306	-:PAT	JP 2012501350-A/17: WEST NILE VIRUS
PP_0008QW1	PP_0008QW1.3	west-nile	HV572307	-:PAT	JP 2012501350-A/18: WEST NILE VIRUS
PP_0008QXZ	PP_0008QXZ.3	west-nile	HV572308	-:PAT	JP 2012501350-A/19: WEST NILE VIRUS
PP_0008QYX	PP_0008QYX.3	west-nile	HV572309	-:PAT	JP 2012501350-A/20: WEST NILE VIRUS
PP_0008QZV	PP_0008QZV.3	west-nile	HV572310	-:PAT	JP 2012501350-A/21: WEST NILE VIRUS
PP_0008R0T	PP_0008R0T.3	west-nile	HV572311	-:PAT	JP 2012501350-A/22: WEST NILE VIRUS
PP_0008R1R	PP_0008R1R.3	west-nile	HV572312	-:PAT	JP 2012501350-A/23: WEST NILE VIRUS
PP_0008R4K	PP_0008R4K.3	west-nile	HW250533	-:PAT	WO 2013080307-A/63: Primer set for amplifying mosquito-borne virus, assay kit for detecting mosquito-borne virus, and detection method using them
PP_0008R8B	PP_0008R8B.3	west-nile	HW816170	-:PAT	JP 2015028058-A/1: WEST NILE VIRUS
PP_0008R99	PP_0008R99.3	west-nile	HW816171	-:PAT	JP 2015028058-A/2: WEST NILE VIRUS
PP_0008RA7	PP_0008RA7.3	west-nile	HW816172	-:PAT	JP 2015028058-A/3: WEST NILE VIRUS
PP_0008RB5	PP_0008RB5.3	west-nile	HW816173	-:PAT	JP 2015028058-A/4: WEST NILE VIRUS
PP_0008RC3	PP_0008RC3.3	west-nile	HW816174	-:PAT	JP 2015028058-A/5: WEST NILE VIRUS
PP_0008RD1	PP_0008RD1.3	west-nile	HW816175	-:PAT	JP 2015028058-A/6: WEST NILE VIRUS
PP_0008REZ	PP_0008REZ.3	west-nile	HW816176	-:PAT	JP 2015028058-A/7: WEST NILE VIRUS
PP_0008RFX	PP_0008RFX.3	west-nile	HW816177	-:PAT	JP 2015028058-A/8: WEST NILE VIRUS
PP_0008RGV	PP_0008RGV.3	west-nile	HW816178	-:PAT	JP 2015028058-A/9: WEST NILE VIRUS
PP_0008RHS	PP_0008RHS.3	west-nile	HW816179	-:PAT	JP 2015028058-A/10: WEST NILE VIRUS
PP_0008RJQ	PP_0008RJQ.3	west-nile	HW816180	-:PAT	JP 2015028058-A/11: WEST NILE VIRUS
PP_0008RKN	PP_0008RKN.3	west-nile	HW816181	-:PAT	JP 2015028058-A/12: WEST NILE VIRUS
PP_0008RLL	PP_0008RLL.3	west-nile	HW816182	-:PAT	JP 2015028058-A/13: WEST NILE VIRUS
PP_0008RMJ	PP_0008RMJ.3	west-nile	HW816183	-:PAT	JP 2015028058-A/14: WEST NILE VIRUS
PP_0008RNG	PP_0008RNG.3	west-nile	HW816184	-:PAT	JP 2015028058-A/15: WEST NILE VIRUS
PP_0008RPE	PP_0008RPE.3	west-nile	HW816185	-:PAT	JP 2015028058-A/16: WEST NILE VIRUS
PP_0008RQC	PP_0008RQC.3	west-nile	HW816186	-:PAT	JP 2015028058-A/17: WEST NILE VIRUS
PP_0008RRA	PP_0008RRA.3	west-nile	HW816187	-:PAT	JP 2015028058-A/18: WEST NILE VIRUS
PP_0008RS8	PP_0008RS8.3	west-nile	HW816188	-:PAT	JP 2015028058-A/19: WEST NILE VIRUS
PP_0008RT6	PP_0008RT6.3	west-nile	HW816189	-:PAT	JP 2015028058-A/20: WEST NILE VIRUS
PP_0008RU4	PP_0008RU4.3	west-nile	HW816190	-:PAT	JP 2015028058-A/21: WEST NILE VIRUS
PP_0008RV2	PP_0008RV2.3	west-nile	HW816191	-:PAT	JP 2015028058-A/22: WEST NILE VIRUS
PP_0008RW0	PP_0008RW0.3	west-nile	HW816192	-:PAT	JP 2015028058-A/23: WEST NILE VIRUS
PP_0008RXY	PP_0008RXY.3	west-nile	HW822066	-:PAT	JP 2015500989-A/5: MULTIPLEX IMMUNO SCREENING ASSAY
PP_0008RYW	PP_0008RYW.3	west-nile	HW828864	-:PAT	JP 2014502163-A/20: MGMT-based method for obtaining high yield of recombinant protein expression
PP_0008RZU	PP_0008RZU.3	west-nile	HZ099481	-:PAT	JP 2015514402-A/25: Modified oligonucleotides comprising thiol functions and the use of same for the detection of nucleic acids
PP_0008S0S	PP_0008S0S.3	west-nile	HZ099482	-:PAT	JP 2015514402-A/26: Modified oligonucleotides comprising thiol functions and the use of same for the detection of nucleic acids
PP_000HYNQ	PP_000HYNQ.3	west-nile	CQ753914	-:PAT	Sequence 19 from Patent WO2004001051
PP_000HYPN	PP_000HYPN.3	west-nile	CQ754935	-:PAT	Sequence 19 from Patent EP1375670
PP_000HYQL	PP_000HYQL.3	west-nile	CQ867049	-:PAT	Sequence 4 from Patent EP1454988
PP_000HYRJ	PP_000HYRJ.3	west-nile	CQ871188	-:PAT	Sequence 4 from Patent WO2004078986
PP_000HYSG	PP_000HYSG.3	west-nile	CQ874690	-:PAT	Sequence 1 from Patent WO2004076619
PP_000HYTE	PP_000HYTE.3	west-nile	CQ874691	-:PAT	Sequence 2 from Patent WO2004076619
PP_000HYUC	PP_000HYUC.3	west-nile	CQ874692	-:PAT	Sequence 3 from Patent WO2004076619
PP_000HYW8	PP_000HYW8.3	west-nile	CS543188	-:PAT	Sequence 1 from Patent WO2007015783
PP_000HYX6	PP_000HYX6.3	west-nile	CS568914	-:PAT	Sequence 1 from Patent WO2006029300
PP_000HYY4	PP_000HYY4.3	west-nile	CS568916	-:PAT	Sequence 3 from Patent WO2006029300
PP_000HYZ2	PP_000HYZ2.3	west-nile	CS568917	-:PAT	Sequence 4 from Patent WO2006029300
PP_000HZ00	PP_000HZ00.3	west-nile	CS568918	-:PAT	Sequence 5 from Patent WO2006029300
PP_000HZ1Y	PP_000HZ1Y.3	west-nile	CS568919	-:PAT	Sequence 6 from Patent WO2006029300
PP_000HZ2W	PP_000HZ2W.3	west-nile	CS621685	-:PAT	Sequence 9 from Patent WO2007052165
PP_000HZ3U	PP_000HZ3U.3	west-nile	CS621686	-:PAT	Sequence 10 from Patent WO2007052165
PP_000HZ9G	PP_000HZ9G.3	west-nile	DI337409	-:PAT	KR 1020130014996-A/1: Method for real-time detection of west nile virus using a cleavable chimeric probe
PP_000HZAE	PP_000HZAE.3	west-nile	DI337410	-:PAT	KR 1020130014996-A/2: Method for real-time detection of west nile virus using a cleavable chimeric probe
PP_000HZBC	PP_000HZBC.3	west-nile	DI337411	-:PAT	KR 1020130014996-A/3: Method for real-time detection of west nile virus using a cleavable chimeric probe
PP_000HZCA	PP_000HZCA.3	west-nile	DI337412	-:PAT	KR 1020130014996-A/4: Method for real-time detection of west nile virus using a cleavable chimeric probe
PP_000HZD8	PP_000HZD8.3	west-nile	DI337418	-:PAT	KR 1020130014996-A/20: Method for real-time detection of west nile virus using a cleavable chimeric probe
PP_000HZE6	PP_000HZE6.3	west-nile	DI337419	-:PAT	KR 1020130014996-A/21: Method for real-time detection of west nile virus using a cleavable chimeric probe
PP_000HZF4	PP_000HZF4.3	west-nile	DI337420	-:PAT	KR 1020130014996-A/22: Method for real-time detection of west nile virus using a cleavable chimeric probe
PP_000HZG2	PP_000HZG2.3	west-nile	DI337421	-:PAT	KR 1020130014996-A/23: Method for real-time detection of west nile virus using a cleavable chimeric probe
PP_000HZHZ	PP_000HZHZ.3	west-nile	DI450451	-:PAT	KR 1020140113937-A/7: MULTIPLEX IMMUNO SCREENING ASSAY
PP_000J6A5	PP_000J6A5.3	west-nile	DL143958	-:PAT	RESEQUENCING PATHOGEN MICROARRAY
PP_000J75E	PP_000J75E.3	west-nile	DM091232	-:PAT	RNAI THERAPEUTIC FOR RESPIRATORY VIRUS INFECTION
PP_000J76C	PP_000J76C.3	west-nile	DM091233	-:PAT	RNAI THERAPEUTIC FOR RESPIRATORY VIRUS INFECTION
PP_000J77A	PP_000J77A.3	west-nile	DM091234	-:PAT	RNAI THERAPEUTIC FOR RESPIRATORY VIRUS INFECTION
PP_000J788	PP_000J788.3	west-nile	DM185773	-:PAT	LENTIVIRAL VECTOR-BASED VACCINE
PP_000J796	PP_000J796.3	west-nile	DM185774	-:PAT	LENTIVIRAL VECTOR-BASED VACCINE
PP_000J7A4	PP_000J7A4.3	west-nile	DM190920	-:PAT	Vaccine for West Nile virus and method of producing the same
PP_000J7B2	PP_000J7B2.3	west-nile	DM190921	-:PAT	Vaccine for West Nile virus and method of producing the same
PP_000JTVD	PP_000JTVD.3	west-nile	FW376249	-:PAT	Plant-made West Nile Virus (WNV) Vaccines, Vectors and Plant Codon Optimized Sequences
PP_000JZQH	PP_000JZQH.3	west-nile	FW376250	-:PAT	Plant-made West Nile Virus (WNV) Vaccines, Vectors and Plant Codon Optimized Sequences
PP_000JZRF	PP_000JZRF.3	west-nile	FW376251	-:PAT	Plant-made West Nile Virus (WNV) Vaccines, Vectors and Plant Codon Optimized Sequences
PP_000JZSD	PP_000JZSD.3	west-nile	FW376252	-:PAT	Plant-made West Nile Virus (WNV) Vaccines, Vectors and Plant Codon Optimized Sequences
PP_000JZTB	PP_000JZTB.3	west-nile	FW376253	-:PAT	Plant-made West Nile Virus (WNV) Vaccines, Vectors and Plant Codon Optimized Sequences
PP_000JZU9	PP_000JZU9.3	west-nile	FW376254	-:PAT	Plant-made West Nile Virus (WNV) Vaccines, Vectors and Plant Codon Optimized Sequences
PP_000JZV7	PP_000JZV7.3	west-nile	FW376255	-:PAT	Plant-made West Nile Virus (WNV) Vaccines, Vectors and Plant Codon Optimized Sequences
PP_000JZW5	PP_000JZW5.3	west-nile	FW376256	-:PAT	Plant-made West Nile Virus (WNV) Vaccines, Vectors and Plant Codon Optimized Sequences
PP_000JZX3	PP_000JZX3.3	west-nile	FW376257	-:PAT	Plant-made West Nile Virus (WNV) Vaccines, Vectors and Plant Codon Optimized Sequences
PP_000K4YU	PP_000K4YU.3	west-nile	GM968054	-:PAT	Sequence 1 from Patent WO2008143713
PP_000K4ZS	PP_000K4ZS.3	west-nile	GM968056	-:PAT	Sequence 3 from Patent WO2008143713
PP_000K50Q	PP_000K50Q.3	west-nile	GM968057	-:PAT	Sequence 4 from Patent WO2008143713
PP_000K51N	PP_000K51N.3	west-nile	GM968059	-:PAT	Sequence 6 from Patent WO2008143713
PP_000K52L	PP_000K52L.3	west-nile	GM968060	-:PAT	Sequence 7 from Patent WO2008143713
PP_000K53J	PP_000K53J.3	west-nile	GM968061	-:PAT	Sequence 8 from Patent WO2008143713
PP_000K54G	PP_000K54G.3	west-nile	GM968063	-:PAT	Sequence 10 from Patent WO2008143713
PP_000K55E	PP_000K55E.3	west-nile	GM968065	-:PAT	Sequence 12 from Patent WO2008143713
PP_000K56C	PP_000K56C.3	west-nile	GM968067	-:PAT	Sequence 14 from Patent WO2008143713
PP_0015G31	PP_0015G31.1	west-nile	PH267346	-:PAT	JP 2023532007-A/20: Artificial RNAs for modulating RNA fragments
PP_004CHZQ	PP_004CHZQ.1	west-nile	PB147417	-:PAT	JP 2019521143-A/10: COMPOSITIONS AND METHODS FOR FLAVIVIRUS VACCINATION
PP_004CJ2J	PP_004CJ2J.1	west-nile	PC395791	-:PAT	JP 2021522849-A/55: Substitution of the messenger RNA cap with two RNA sequences introduced at the 5' end thereof
PP_004CJ78	PP_004CJ78.1	west-nile	PE384738	-:PAT	KR 1020230030672-A/20: ARTIFICIAL RNAS FOR MODULATING RNA FRAGMENTS
PP_004CJCY	PP_004CJCY.1	west-nile	PI205086	-:PAT	JP 2024501984-A/1: Attenuated virus of a flavivirus virus and the use thereof
PP_0071CFH	PP_0071CFH.1	west-nile	QP768941	-:PAT	JP 2025508605-A/41: NEXT GENERATION MRNA VACCINES
PP_0071S2V	PP_0071S2V.1	west-nile	QQ327467	-:PAT	Patent application sequence for JP 2024053406-A/24
